"","text","id","witness","area","record_row_num"
"1","RODERICK MACLEAN, Factor to Sir Alexander Matheson, Lochalsh—examined.",535,"Roderick Maclean","Inverness-shire, Glenshiel, Letterfearn",1
"2","31629. Sir Kenneth Mackenzie.",535,"Roderick Maclean","Inverness-shire, Glenshiel, Letterfearn",2
"3","—You wish to make some remarks upon the evidence which has been given to-day ?",535,"Roderick Maclean","Inverness-shire, Glenshiel, Letterfearn",3
"4","—I do. ' With reference to Dornie and Bundaloch, in 1852 part of the graziugs was occupied by Duncan and John Macmillan at a rent of £60. In 1862, as no rent could be got from the stance-holders, the grazings some of them held were taken from them and addedto those held by the Macmillans, at an additional rent of £40, making the rent of Bundaloch £100, at which it is at present let on lease to John Macrae. When Sir Alexander came into possession of the estate in 1851, the rent of the whole arable and grazings of Dornie and Bundaloch was £271. It is now £219. In March last a petition was presented to Sir Alexander by twenty-one of the Bundaloch stance-holders for land. This he cannot give without breaking a lease. Inquiry has been made into the circumstances of the petitioners, which brought out that only one (the Bundaloch shepherd) could stock a lot, another partially, seventeen have no means, and two are in receipt of parochial relief. In 1844, previous to the potato disease, the arrears against the Dornie and Bundaloch crofters and stance-holders was £2170, 18s. 5d.'",535,"Roderick Maclean","Inverness-shire, Glenshiel, Letterfearn",4
"5","31630. Mr Fraser-Mackintosh.",535,"Roderick Maclean","Inverness-shire, Glenshiel, Letterfearn",5
"6","—-Over 200 years ?",535,"Roderick Maclean","Inverness-shire, Glenshiel, Letterfearn",6
"7","—-I don't know how long. All of them were in arrears except two. At Whitsunday 1852, the first year of Sir Alexander's possession, only eighteen paid in full, twenty partially, and eighty-six were in arrears amounting to £119, 14s. 5d.  The statement was made that the arrears were handed down from one proprietor to another, but Sir Alexander Matheson began with a clean sheet. I met the people last spring and collected them into Dornie school, and endeavoured to give them a little knowledge of agriculture, because, I am sorry to say, they are bad farmers. Nobody taught the poor people, and I thought I would begin by giving them an elementary lesson, showing how the soil is formed by atmospheric action. I also told them that the earth-worm was a far better drainer than the Dornie people, and the man thought I was making an earth-worm of himself. I found it was a mistake to speak to them, for they could not follow me out; but the fault is that they are not taught. I hope there is no person more lenient than I am, and I would wish to see them educated. If they were educated they would be as able and as willing workers as any other people, but until they are taught we cannot expect so much of them as of those who are taught. With regard to the statements which have been",535,"Roderick Maclean","Inverness-shire, Glenshiel, Letterfearn",7
"8","made about deer forests, I referred to them yesterday. The proprietor expended on Inverinet £486, 5s. 11d. on buildings; £73, 18s. on lands;  £137, 4s. 10d. enclosures; together £697, 8s. 9d. In 1851 the rent was £99, 8s. 6d.; in 1881 it was reduced by £17, and it is now £104, 5s., leaving only a total sum of £4, 17s. 6d. as the income of the proprietor on the £697 spent by him. I now come to Letterfearn, and the proprietor has given me permission to read part of the private report of this township sent to him. When he gave me charge of the estates in the end of February 1882, he instructed me to go over the whole of the west coast estates along with Mr Watson and visit the crofters, and see the native condition of every one of them. I got these instructions in April 1882, and in May Mr Watson and myself went over the estates, and spent about three weeks in visiting the different crofts and examining into the state of the people. I have here a copy of the report of the condition of the place which I sent to the proprietor, of which I shall read a part to show that I am not the enemy of the poor man any more than the proprietor is, and it was stated yesterday and to-day that there is no better friend of a poor man than he. I began my letter to Sir Alexander by saying:",535,"Roderick Maclean","Inverness-shire, Glenshiel, Letterfearn",8
"9","—' As stated in my note of Saturday last, I beg leave to lay before you a report of my survey accompanied by Watson over your Lochalsh, Kintail, and Glenshiel estates. We desired the people to tell freely any complaints they had to make both relative to their possessions and to any disputes among themselves, that if the former were reasonable everything possible would be made to remove their cause, and in the latter amicable settlements would be endeavoured. Of this freedom of approach invited, I am happy to say not a shade of advantage was taken by them. They treated ourselves and our position most respectively. ",535,"Roderick Maclean","Inverness-shire, Glenshiel, Letterfearn",9
"10","—There are thirteen crofters paying from 30s. to £4, eight paying a few shillings for potato land, and eight squatters who have no lands. Their complaint was the small extent of land at their disposal for potato planting, and no outrun for grazing cows. The squatters can get potato land very seldom, only from the tenants of Drudaig and Leackachan, so that they are obliged to go to the neighbouring property for it. They complained also of being charged for sea-ware from Glass Island an amount of £ 4 , 5s. among all the crofters. It was shown to them how impossible it is to give them lands for grazing or more land for planting potatoes, as the whole is either under lease, or on the same footing as under lease, A few of them have a sufficiency of money to take middle-sized crofts, with savings from labour and fishing. Ruarach was offered among four of them, but they had not means enough to stock it, and Nonach and Blackwater among six ; these places are too far from the sea. Six of the squatters are able and active men with families, and it is a pity there is no place for them. They were all very civil, hoped something would bedone for them, and that the sea-ware money would be taken off their rents. No promises were made. The rent of Mr Macdonald, the tenant of Drudaig, was till Whitsunday last £130. Sir Alexander gave me instructions to try and do the best I could, and at the end of April last we were able to make arrangements for Mr Macdonald to give up the best portion of the farm for the crofters by reducing his rent to £70, and the portion set apart for the crofters contiguous to their land formerly occupied by them were valued at £15, at which sum the returns were made to the assessor this year, thus causing a decrease of £ 45 to the proprietor on the whole rent, consequent on the breaking up of this portion for the crofters. With reference to Camusluinie I am sorry to say that the delegates, although they told the truth, did not tell the whole truth. When Sir Alexander Matheson bought the property the rent was £ 143 ; they said £140. ",535,"Roderick Maclean","Inverness-shire, Glenshiel, Letterfearn",10
