"","text","id","witness","area","record_row_num"
"1","ALEXANDER MACKENZIE, Crofter and formerly Fisherman, Midtown, Inverasdale (65)—examined.",487,"Alexander Mackenzie","Ross-shire, Poolewe",1
"2","28980. Mr Fraser-Mackintosh.",487,"Alexander Mackenzie","Ross-shire, Poolewe",2
"3","—Do you produce any written statement ?",487,"Alexander Mackenzie","Ross-shire, Poolewe",3
"4","—Yes. Statement respectfully submitted to the Royal Commission (Highlands and Islands), by Alexander Mackenzie, sixty-five, crofter and fisherman, lot 1-4 Midtown of Inverasdale, duly elected delegate by",487,"Alexander Mackenzie","Ross-shire, Poolewe",4
"5","crofters and cottars of the townships of Midtown and coast of Inverasdale :",487,"Alexander Mackenzie","Ross-shire, Poolewe",5
"6","—I occupy a croft of about four acres, of which about three acres are under cultivation. I came into the occupancy of the croft about thirty-seven years ago, and almost all the arable portion of the croft has been reclaimed during my occupancy, I have a share of the common hill pasture, and my stock at present consists of two cows, a small beast, and a few sheep. I pay £ 1 , 6s. of rent for the croft, and about £ 1 for hill rent and other expenses incident on my share of the hill pasture. In a favourable year the produce of the croft does not afford subsistence for my family for six months, and it does not yield half enough to "" keep "" my cattle. The staple manure is sea-ware, and the united testimony of the crofters is that it is the best manure they can get to produce a good crop out of the soil of their crofts, and yet the most of it is held by a neighbouring proprietor and a large farmer, from whom the crofters have to buy it at the rate of an average of 10s. for as much sea-ware as will in land of ordinary fertility manure the sowing of two bushels of oats. The sea-ware held by the crofter tenants in connection with their crofts is so scarce that, in order to give the land full justice, each crofter would have to expend 30s. yearly on sea-ware. The most of them cannot afford this extra outlay. As a rule those who can at all afford it expend from 15s. to £1 annually on sea-ware, while to make up for want of sea-ware and of means to procure it, they are engaged for a considerable time in the course of each spring season dragging tangle-weed out of the sea, and it proves to be a very inferior manure. Were there a sufficient quantity of sea-ware held by the people in connection with the crofts, the latter would be much more productive than they are, and the expenses and labour connected with the holdings would be greatly diminished. In 1841 the township of Midtown was let to crofters, and the rental was then increased by £15, and subsequently, when the crofts were rearranged, there was a further increase of £10. The present rental is £54, 14s for crofts and £20 for hill grazing, making a total £74, 14s. There are twenty-nine tenants, of whom twenty-seven are paying under £4 of yearly rents. The hill grazing is paid for in common. About forty years ago the township of Coast was occupied by fifteen tenants paying a gross rental of £37, 10s. Now it is occupied by eighteen tenants, and the yearly rental is £48, 2s. for crofts, and £19 for hill grazing—total £67, 2s. The crofters' hill grazing is largely trespassed on, and overrun to a great extent by sheep and cattle and sheep stock from an adjoining farm, and consequently the crofters do not receive nearly the full benefit of their outrun. Representations on the subject of a march fence, for which the crofter tenants offered to pay half the",487,"Alexander Mackenzie","Ross-shire, Poolewe",6
"7","yearly interest on the outlay, have been made to the proprietor and to the estate manager, the latter actually declined to comply with what the crofters considered a reasonable demand in regard to the erection of a march fence. Thirty-six years ago or thereby money was advanced by Government to improve the Midtown crofts. Some improvements were effected on several of the crofts, while others reaped no benefit, yet a sum was added to the rent of each tenant, which sum was said to be a yearly instalment which would repay principal and interest in twenty-one years. This additional annual sum has not yet been deducted from the rent, and has now been paid for fifteen years over the stipulated time, both by those who received no benefit from the money as well as by those who did to a certain extent. The present proprietor, Sir Kenneth Mackenzie, has invariably shown great kindness to the people. He is the friend and benefactor of widows and orphans, to many of whom he gives land rent free. It is much regretted that he does not reside more frequently on his Gairloch property, as should such be the case it is believed the management would give more satisfaction to the crofters than it really does, I believe that much of the poverty existing among the people of the townships I represent can be traced in some measure to hardships endured by the crofters under the oppressive management of the factor on the estate, and his underlings, during Sir Kenneth's minority. At the time of the destitution consequent on the potato famine, the factor seized a large proportion of the crofters' cattle for arrears of rent. Cows were taken away for £1 of arrears, and in some cases for less. In some cases instead of the arrears being wiped off, the tenants had to pay sums ranging from 4s. to 6s. for the grazing of the cattle while they were in the factor's hand previous to being sent to market; I can if necessary give cases in point relating to the oppression and gross mismanagement during these hard times, from the effects of which some of the people have not yet recovered. All the factors and managers of my time have had of the "" fat of the land,"" and left the people in poverty.",487,"Alexander Mackenzie","Ross-shire, Poolewe",7
"8","28981. Who wrote this paper?",487,"Alexander Mackenzie","Ross-shire, Poolewe",8
"9","—A man belonging to the place, but it was we ourselves who gathered together and gave him the statements.",487,"Alexander Mackenzie","Ross-shire, Poolewe",9
"10","28982. Had you more meetings than one to appoint delegates'?",487,"Alexander Mackenzie","Ross-shire, Poolewe",10
"11","—Two.",487,"Alexander Mackenzie","Ross-shire, Poolewe",11
"12","28983. Were they well attended ?",487,"Alexander Mackenzie","Ross-shire, Poolewe",12
"13","—Not very many at the last one, the people were away. There were a good number present at the first",487,"Alexander Mackenzie","Ross-shire, Poolewe",13
"14","meeting.",487,"Alexander Mackenzie","Ross-shire, Poolewe",14
"15","28984. And this paper, I suppose, represents the feeling of all the people in the township?",487,"Alexander Mackenzie","Ross-shire, Poolewe",15
"16","—Yes.",487,"Alexander Mackenzie","Ross-shire, Poolewe",16
"17","28985. Of those who were present and those absent?",487,"Alexander Mackenzie","Ross-shire, Poolewe",17
"18","—If not I should not have been here. It would not have been worth my while at my time of life.",487,"Alexander Mackenzie","Ross-shire, Poolewe",18
"19","28986. What is the name of the farm, or the name of the tenant to whom you are obliged to pay money for your sea-ware ?",487,"Alexander Mackenzie","Ross-shire, Poolewe",19
"20","—Many farms round about the loch here; wherever the sea-ware is. ",487,"Alexander Mackenzie","Ross-shire, Poolewe",20
"21","28987. But you say ' most of it is held by a neighbouring proprietor and a large farmer—what are the names of the proprietor and the farmer?",487,"Alexander Mackenzie","Ross-shire, Poolewe",21
"22","—When we went down where we are there was only one man there, and the sea-ware that that one man used was divided amongst thirty, and the share of each was but small. One of them is Mr Mackenzie, the brother of Sir Kenneth.",487,"Alexander Mackenzie","Ross-shire, Poolewe",22
"23","28988. What is the name of the former ?",487,"Alexander Mackenzie","Ross-shire, Poolewe",23
"24","—Mr Reid of Island Ewe.",487,"Alexander Mackenzie","Ross-shire, Poolewe",24
"25","28989. Is it a fact that, every year you are paying money for the seaware, more or less ?",487,"Alexander Mackenzie","Ross-shire, Poolewe",25
"26","—Yes, it is the case every year.",487,"Alexander Mackenzie","Ross-shire, Poolewe",26
"27","28990. That is, in fact, an additional rent ?",487,"Alexander Mackenzie","Ross-shire, Poolewe",27
