"","text","id","witness","area","record_row_num"
"1","DAVID CHARLES EDMONSTON (46)—examined.",358,"David Charles Edmonston","Unst, Baltasound",1
"2","20269. The Chairman.",358,"David Charles Edmonston","Unst, Baltasound",2
"3","—Are you a proprietor?",358,"David Charles Edmonston","Unst, Baltasound",3
"4","—No; a factor.",358,"David Charles Edmonston","Unst, Baltasound",4
"5","20270. Do you occupy any land yourself?",358,"David Charles Edmonston","Unst, Baltasound",5
"6","—I do.",358,"David Charles Edmonston","Unst, Baltasound",6
"7","20271. Then I may say you are a factor and farmer?",358,"David Charles Edmonston","Unst, Baltasound",7
"8","—Yes.",358,"David Charles Edmonston","Unst, Baltasound",8
"9","20272. You have no other factor?",358,"David Charles Edmonston","Unst, Baltasound",9
"10","—I am, in fact, lessee of the estate, too —lessee and factor. I pay a free rent to Mrs Edmonston for the",358,"David Charles Edmonston","Unst, Baltasound",10
"11","estate of Buness.",358,"David Charles Edmonston","Unst, Baltasound",11
"12","20273. Have you been long resident in the island?",358,"David Charles Edmonston","Unst, Baltasound",12
"13","—All my life, with the exception of a few years.",358,"David Charles Edmonston","Unst, Baltasound",13
"14","20274. And engaged both as factor on estate management, and in fanning on your own account?",358,"David Charles Edmonston","Unst, Baltasound",14
"15","—Yes.",358,"David Charles Edmonston","Unst, Baltasound",15
"16","20275. Have you had any other commerce,—as a fish-curer, for instance?",358,"David Charles Edmonston","Unst, Baltasound",16
"17","—Yes; I started business when twenty-one, as a fish-curer and general merchant. I continued that for eight or nine years, and then gave it up.",358,"David Charles Edmonston","Unst, Baltasound",17
"18","20276. You have heard what has been stated by the small tenants here to-day?",358,"David Charles Edmonston","Unst, Baltasound",18
"19","—I have.",358,"David Charles Edmonston","Unst, Baltasound",19
"20","20277. Is there any statement you wish to make in consequence of what you have heard?",358,"David Charles Edmonston","Unst, Baltasound",20
"21","—There are one or two statements I might make. When I heard the tenants were to come here to day, I drew up a statement which I shall read:",358,"David Charles Edmonston","Unst, Baltasound",21
"22","Previous to about the year 1820, the land in Shetland was let in small crofts and the rents paid in kind",358,"David Charles Edmonston","Unst, Baltasound",22
"23","—part in fish, butter, oil, and money. The lands were low rated, and the price of produce was also low, so that the proprietors looked for their rents out of the sales of what they got from the people. It sometimes happened that the price of Shetland produce was very low in the southern markets, and in such times the net rentals were very smalL The proprietors generally managed their own estates, compelling the men to fish for, and deliver to them, the whole of the produce, both of sea and land, and were thus fish-curers and merchants. In some cases, however, they let their properties to middlemen, or tacksmen as they were called, getting a slump sum in money, and allowing the tacksmen to make what profit they could out of the people, the tenants of course, being bound to fish for and deliver their produce to them. During last century the population was only about half what it is at present. There were few or no large farms, as the great object was to increase the number of fishermen, and thus the land was sub-divided into small lots; and there being little or no emigration, the population naturally increased very rapidly. Under this old system, the people were generally well to do, and there was little or no debt due on the land. The ground was well-cultivated and almost self-supporting; little or no meal was imported. As intercourse with the South became more frequent, and people began to know the prices of sea and farm produce, the old system engendered discontent, and, forgetting that if they were selling their produce cheap, they also had their farms at a nominal rent, the tenants called loudly for a fairer market value being put upon all. Between the years 1820 and 1830, or in some cases before that time, most of the proprietors had revalued their lands and given up the old system, allowing the people to fish for whom they chose, and sell their produce to the highest bidder, merely asking payment of the rents when they annually fell due at Martinmas. The result of this free trade was that innumerable shopkeepers sprang up, and the people were induced to barter their produce from hand to mouth, for luxuries which they could not afford, thus acquiring a taste for articles which superseded the coarser and healthier produce of their farms; the land was neglected, and refused to produce anything like its former increase. The home-spun and comfortable woollen clothing was superseded by the light and cold cotton textures of the present time, the native wool being made up into finer articles for the southern markets, and bartered for light clothing and eatables, and thus the people were neither fed nor clothed like their ancestors. The consequence of all this was that they got seriously into debt both to landlords and merchants, and one of the largest and first of the free trade proprietors emphatically declared that had he been a younger man, he would have put his ""shoulder to the wheel,"" and gone back to the old and paternal government of his estate, as the best suited at that time for both landlord and tenant. Up to 1867, the crofts on the Buness estate were mostly ""runrig;"" and in that season the whole property was carefully gone over and divided out in separate lots, so that each tenant got his farm by itself. At the same time each holding was valued at what was considered a fair money rent, and the tenants without exception all took their holdings and seemed satisfied. Up to this time the scatholds or hill ground were pastured by the people in common, aud it often happened that the principal stocks belonged to tenants of other proprietors, shopkeepers, and squatters. Those who were not Buness tenants were requested to remove their animals. A certain  proportion of the scatholds were enclosed and let out as sheep farms, but in nearly every case a portion next the town lands was reserved for the crofters. An attempt was then made to induce the people to take leases and improve their holdings, by breaking out more land draining, sub-dividing, and rotation of crops; but while many adopted a sort of rotation, and with the most marked benefit, others have not done so, and in all cases the leases were emphatically refused. Many would have taken them with a clause binding the proprietor, but leaving the tenant free to remove any year he chose; but this one-sided agreement was not granted, and so the crofts on the Buness estate are mostly all held on yearly tenancy. Almost contemporaneous with this rearrangement of crofts, came a run of good fishings and high prices for cattle of all kinds, and so the tenants have generally paid their rents with moderate regularity. Another help to this is the fact that since 1867 the breed of horned cattle has been greatly improved throughout the island. Previous to 1865, the poor rate was voluntary and entirely paid by the proprietors. In that year this rate alone rose to the enormous sum of 7s. in the pound of gross rental; this was owing to all the small proprietors, who hold about a fourth of the parish, refusing to pay their proportion, and in that year the rate fell on Lord Zetland, Garth, and Buness. This was found to be such a grievous burden, that it was resolved to adopt the Rowland Act of 1845 in its entirety, and the rates at the present time are 3s. 6d. for poor and Is. 6d. for school, levied half on proprietors and half on tenants. A large proportion of this rate goes to maintain six pauper lunatics in Montrose Asylum. The whole houses on the Buness estate are built and repaired by the proprietors without charging any interest or additional rent. An average Buness croft may; be stated at £5 rent, which consists of from five to ten acres of town land, a house, peat ground, liberty on the hill for ponies, cattle and sheep, and an average stock that may be kept on such a holding may be stated at three milk cows, two young cattle, three breed mares, and six to twelve ewes, besides pigs and poultry. Whilst many have this stock and more, there are no doubt many who do not have it; this is owing to a variety of circumstances, amongst which is inability to purchase a stock to start with. There has been no rise of rent on the Buness estate since 1867. In 1874-5 the islands were stumped by emigration agents from New Zealand, and a great many people were induced to take advantage of the assisted passages, and went out to that colony. Several of the Buness tenants were of the number, and in most cases each carried with him a clear sum of from £30 to £200 as the result of their savings here. In cases where townships were partially left vacant, several tenants were moved from one place to another and concentrated, in order that something might be made of a whole township, when nothing could be got out of a vacant portion. There is not a croft vacant at present on the estate. In 1867 it had 118 holdings, and at present there are 106. A great portion is expected for trust, in consequence of the new enterprise in fishing which has lately been started by South country as well as native curers. The small native boats are being fast superseded by larger decked ones, and many of the men are hiring themselves as hands in the larger boats.Men, women, aud children are all at present remuneratively employed, and the result is showing itself in many ways. The present rental of the Buness estate, as appearing in the valuation roll, includes sums of over £100 for interest on Government loans of money laid out on the estate. This goes to swell the rental, and is not actual rise of rent.—I prepared this statement hurriedly, and it may be to the point or not.",358,"David Charles Edmonston","Unst, Baltasound",23
"24","20278. You spoke of an improvement in the cattle; what was the nature of the improvement which has been effected —has it been an improvement in the native breed by selection, or has a new breed been introduced? ",358,"David Charles Edmonston","Unst, Baltasound",24
