"","text","id","witness","area","record_row_num"
"1","DONALD M 'INNES, Crofter, Duisdale (75)—examined. ",102,"Donald Mcinnes","Skye, Isle Ornsay",1
"2","5388. The Chairman.",102,"Donald Mcinnes","Skye, Isle Ornsay",2
"3","—Have you been freely elected a delegate",102,"Donald Mcinnes","Skye, Isle Ornsay",3
"4","—Yes.",102,"Donald Mcinnes","Skye, Isle Ornsay",4
"5","5389. Are you a fisherman also ?",102,"Donald Mcinnes","Skye, Isle Ornsay",5
"6","—No, I have become too old for that. ",102,"Donald Mcinnes","Skye, Isle Ornsay",6
"7","5390. Were you a fisherman ?",102,"Donald Mcinnes","Skye, Isle Ornsay",7
"8","—I was. ",102,"Donald Mcinnes","Skye, Isle Ornsay",8
"9","5391. The following is the statement from Duisdale Beg:",102,"Donald Mcinnes","Skye, Isle Ornsay",9
"10","—'The chief complaint here seems to be that the rent is too high for the amount of land held. I n one case, it was explained that the land is exceedingly wet, and required to be drained. It was also stated that two pieces of hill pasture were taken from them without the rent being reduced. It was agreed to appoint Donald M'Innes as a delegate from Duisdale Beg. Have you got any statement to add ?",102,"Donald Mcinnes","Skye, Isle Ornsay",10
"11","—Not much. We are four of us, who have a bit of ground as I have, and the four of us can only keep a stock equal to what is kept upon a full lot. We four of us only have half a lot each. One of us, who occupies a piece of a lot, pays £12 for that piece, and is only able to keep upon it two cows, and the other two pay £2, 15s. and one £4, 15s. ",102,"Donald Mcinnes","Skye, Isle Ornsay",11
"12","5392. Sir Kenneth Mackenzie.",102,"Donald Mcinnes","Skye, Isle Ornsay",12
"13","—What pasture did they lose?",102,"Donald Mcinnes","Skye, Isle Ornsay",13
"14","—It was a piece which was upon the hill taken off our pasture. The part of our grazing which was taken from us was a piece that extended to the back of the tack marching with us, and it was taken from us in order to straighten the march. ",102,"Donald Mcinnes","Skye, Isle Ornsay",14
"15","5393. Was the march then fenced?",102,"Donald Mcinnes","Skye, Isle Ornsay",15
"16","—No. ",102,"Donald Mcinnes","Skye, Isle Ornsay",16
"17","5394. Was there no iron fence put up ?",102,"Donald Mcinnes","Skye, Isle Ornsay",17
"18","—No. ",102,"Donald Mcinnes","Skye, Isle Ornsay",18
"19","5395. What was it straightened for ?",102,"Donald Mcinnes","Skye, Isle Ornsay",19
"20","—Because the tacksman had ground on each side of it; on the north and south of this piece which was taken from us. ",102,"Donald Mcinnes","Skye, Isle Ornsay",20
"21","5396. Was there not a trifling reduction of rent on account of this?",102,"Donald Mcinnes","Skye, Isle Ornsay",21
"22","— No. ",102,"Donald Mcinnes","Skye, Isle Ornsay",22
"23","5397. Who is the tacksman?",102,"Donald Mcinnes","Skye, Isle Ornsay",23
"24","—Mr Macdonald, Ord. We had it for a year before Mr Macdonald got the tack on the other side, and when he got the tack he insisted upon getting this piece of our ground also. ",102,"Donald Mcinnes","Skye, Isle Ornsay",24
"25","5398. Did you only have this piece of ground for one year?",102,"Donald Mcinnes","Skye, Isle Ornsay",25
"26","—We had it for one year, but it always belonged to our place. ",102,"Donald Mcinnes","Skye, Isle Ornsay",26
"27","5399. Sheriff Nicolson.",102,"Donald Mcinnes","Skye, Isle Ornsay",27
"28","—How long have you been there yourself?",102,"Donald Mcinnes","Skye, Isle Ornsay",28
"29","— From the time the township was originally settled,",102,"Donald Mcinnes","Skye, Isle Ornsay",29
