"","text","id","witness","area","record_row_num"
"1","JOHN NICOLSON, Crofter and Fisherman, Doirre-na-Guille, Rona (36)—examined.",152,"John Nicolson","Raasay, Torran",1
"2","8052. The Chairman.",152,"John Nicolson","Raasay, Torran",2
"3","—Were you freely elected a delegate ?",152,"John Nicolson","Raasay, Torran",3
"4","—Yes.",152,"John Nicolson","Raasay, Torran",4
"5","8053. Have you got a statement to make on the part of the people who elected you ?",152,"John Nicolson","Raasay, Torran",5
"6","—I have not much to say but the truth. I make it out that should I be here from sunrise to sunset I could not fully disclose the poverty of Rona. It is a place in which no man need expect to make his living. We are working on sea and land, both summer, and winter, and spring—every quarter of the year—and after that we have only poverty. I cannot say but that Mr Wood is a kind man ever since we saw him—kind to the poor, and helpful to the widows; but we will ever be poor as long as we are kept crowded in a place of which we cannot make use. I can say with truth that my skiff is my cart, and that the wives and the children are the horses, and there is truth in that, because it is the work of the horses which they perform. The creel is on their back continually, and after being worked so hard as that, they cannot make a living out of it. I myself remember the township in which I am being in possession of one man. Then four had it. Now eight have it—I mean eight families—and I make out there are fifty souls in the township. That one man was paying £17, 19s. of rent, and now the rent is £25 ; but it is Mr Mackay who raised the rent, Mr Wood has left it as he found it. All the new houses which have been built have been built by Mr Wood.",152,"John Nicolson","Raasay, Torran",6
"7","8054. Who built the houses in Mr Mackay's time?",152,"John Nicolson","Raasay, Torran",7
"8","—There were no new houses built until Mr Wood became the proprietor.",152,"John Nicolson","Raasay, Torran",8
"9","8055. Where did the eight families come from?",152,"John Nicolson","Raasay, Torran",9
"10","—Two came from Kyle-Rona, and the rest was their own increase. They were getting no other place in which to live. I don't think any one could make a living in Rona as long as they live crowded upon each other as at present.",152,"John Nicolson","Raasay, Torran",10
"11","8056. Sheriff Nicolson.",152,"John Nicolson","Raasay, Torran",11
"12","—Did you build your own house?",152,"John Nicolson","Raasay, Torran",12
"13","—I never built a new house. I would get the house built for me ; but I was not seeing it worth my while building a house for the plot of land I had. ",152,"John Nicolson","Raasay, Torran",13
"14","8057. Where was your father staying?",152,"John Nicolson","Raasay, Torran",14
"15","—In the same township.",152,"John Nicolson","Raasay, Torran",15
"16","8058. Was it ho who built the house?",152,"John Nicolson","Raasay, Torran",16
"17","—It was Mr Wood who gave him the timber.",152,"John Nicolson","Raasay, Torran",17
"18","8059. Is there wood enough growing in Raasay to supply roofs to the houses ?",152,"John Nicolson","Raasay, Torran",18
"19","—Yes.",152,"John Nicolson","Raasay, Torran",19
"20","8060. They supply some, I believe, to people on the mainland of Skye?",152,"John Nicolson","Raasay, Torran",20
"21","—Yes, he is very good for giving timber to people.",152,"John Nicolson","Raasay, Torran",21
"22","8061. Is your house a slated one!",152,"John Nicolson","Raasay, Torran",22
"23","—No, it is the old block house I have.",152,"John Nicolson","Raasay, Torran",23
"24","8062. But the one Mr Wood built?",152,"John Nicolson","Raasay, Torran",24
"25","—There are no slated houses in our township.",152,"John Nicolson","Raasay, Torran",25
"26","8063. Mr Fraser-Mackintosh.",152,"John Nicolson","Raasay, Torran",26
"27","—Do you concur with the preceding witness as to the necessity for several of them being removed to the mainland?",152,"John Nicolson","Raasay, Torran",27
"28","—I believe that they will never be well off till that is done.",152,"John Nicolson","Raasay, Torran",28
"29","8064. Are you yourself willing to go?",152,"John Nicolson","Raasay, Torran",29
"30","—Yes, I have been long willing. That is the reason why I don't want to build a house.",152,"John Nicolson","Raasay, Torran",30
"31","8065. Have the Rona people asked Mr Wood to do something for them in that direction?",152,"John Nicolson","Raasay, Torran",31
"32","—I cannot say that they did.",152,"John Nicolson","Raasay, Torran",32
"33","8066. Why did not they do so, if he is a kind landlord, and a good man?",152,"John Nicolson","Raasay, Torran",33
"34","—I am told there are some who asked to get land, and they told me so, but they did not get the land yet, and I did not hear what the reply was. I was speaking once or twice about a place to the manager, and the reason for not granting the request was that there was no vacant place for me.",152,"John Nicolson","Raasay, Torran",34
"35","8067. If you got the offer yourself to be carried to some good place in America or Australia, with your family, would you go?",152,"John Nicolson","Raasay, Torran",35
